"year_run"	"index"	"batch"	"Desorb.Start.Time"	"FileName"	"exclude"	"verdict"	"samplename"	"format"	"file1"	"file2"	"file3"	"file4"	"file5"	"file6"	"file7"	"site"	"type"	"vial"	"sample"	"time"	"date_text"	"date"	"rundate"	"gc_n"	"split_notes"	"year"	"n"
2017	533		"2017-09-02T20:19:57Z"	"L44NAug10reallyL13N_09022017.qgd"		"skip-renamed"	"L44NAug10reallyL13N_09022017"	"renamed"	"L44NAug10reallyL13N"	9022017						"Lagg"	"floral"		13	"N"	"Aug10"	2017-08-10	2017-09-02		"CHECK both claim to be L13N"	2017	2
2017	713			"L13NAug10_09022017.qgd"	1	"mismatch"	"L13NAug10_09022017"	"SPTMonD"	"L13NAug10"	9022017						"Lagg"	"floral"		13	"N"	"Aug10"	2017-08-10	2017-09-02		"CHECK both claim to be L13N"	2017	2
2021	742	"maxfield210714.txt"	"2021-07-14T19:33:55Z"	"5_line__Ihyb_200716_7142021_07.qgd"			"5_line__Ihyb_200716_7142021_07"	"underscores"	5	"line"	"Ihyb"	200716	7142021	7		"Ihyb"	"floral"	5	5	"N"	200716	2020-07-15	2021-07-14	7	"change 07-16>07-15, add N CHECK what does line mean, dupe sample number"	2020	2
2021	755	"maxfield210714.txt"	"2021-07-15T02:14:44Z"	"5_Ihyb_nodate_7142021_20.qgd"	1		"5_Ihyb_nodate_7142021_20"	"underscores"	5	"Ihyb"	"nodate"	7142021	20			"Ihyb"	"floral"		5	"N"	"nodate"	2020-07-15	2021-07-14	20	"duplicated, CHECK duplicate sample number"	2020	2
2021	1509	"PG_VF_210824.txt"	"2021-08-24T18:12:10Z"	"Ihyb_20_210712_redo_8242021_07.qgd"	1		"Ihyb_20_210712_redo_8242021_07"	"underscores"	"Ihyb"	20	210712	"redo"	8242021	7		"Ihyb"	"floral"	20	101	"N"	"2redo_"	2021-07-12	2021-08-24	7	"add N, CHECK duplicate sample"	2021	2
2021	1529	"PG_VF_210825.txt"	"2021-08-26T08:49:27Z"	"Ihyb_20_210712_redo_8252021_07.qgd"			"Ihyb_20_210712_redo_8252021_07"	"underscores"	"Ihyb"	20	210712	"redo"	8252021	7		"Ihyb"	"floral"	20	101	"N"	"2redo_"	2021-07-12	2021-08-25	7	"add N, CHECK duplicate sample"	2021	2
2021	1430	"Lagg_210822.txt"	"2021-08-22T18:28:00Z"	"Lagg_26_210715_8222021_08.qgd"			"Lagg_26_210715_8222021_08"	"underscores"	"Lagg"	26	210715	8222021	8			"Lagg"	"floral"	26	77	"D"	210715	2021-07-15	2021-08-22	8	"add D, CHECK duplicate sample number, one of these is 26A = air"	2021	2
2021	1449	"Lagg_VF_210822b.txt"	"2021-08-23T08:33:48Z"	"Lagg_26_210715_8222021_07.qgd"	1		"Lagg_26_210715_8222021_07"	"underscores"	"Lagg"	26	210715	8222021	7			"Lagg"	"floral"	26	77	"D"	210715	2021-07-15	2021-08-22	7	"add D, CHECK duplicate sample number, one of these is 26A = air"	2021	2
2022	5438	"PG_Ihyb_220802_1.txt"	"2022-08-02T23:59:09Z"	"Ihyb_T20_D_220712_822022_20.qgd"	1		"Ihyb_T20_D_220712_822022_20"	"underscores"	"Ihyb"	"T20"	"D"	220712	822022	20		"Ihyb"	"floral"	20	712	"D"	220712	2022-07-12	2022-08-02	20	"CHECK were these run twice? duplicate samples"	2022	2
2022	5452	"PG_Ihyb_220802b_1.txt"	"2022-08-03T07:26:39Z"	"Ihyb_732_D_220712_822022_13.qgd"		"skip-rename"	"Ihyb_530_D_220712_822022_14"	"underscores"	"Ihyb"	530	"D"	220712	822022	14		"Ihyb"	"floral"		712	"D"	220712	2022-07-12	2022-08-02	14	"CHECK duplicate sample"	2022	2
2022	5119	"PG_Lagg_220726a_2.txt"	"2022-07-27T07:38:41Z"	"Lagg_548_D_220721_7262022_12.qgd"			"Lagg_548_D_220721_7262022_12"	"underscores"	"Lagg"	548	"D"	220721	7262022	12		"Lagg"	"floral"		548	"D"	220721	2022-07-21	2022-07-26	12	"CHECK sample duplicate, one should be N"	2022	2
2022	5179	"PG_Lagg_220727.txt"	"2022-07-29T04:31:31Z"	"Lagg_548_D_220721_7282022_13.qgd"	1		"Lagg_548_D_220721_7282022_13"	"underscores"	"Lagg"	548	"D"	220721	7282022	13		"Lagg"	"floral"		548	"D"	220721	2022-07-21	2022-07-28	13	"CHECK sample duplicate, one should be N"	2022	2
2022	5190	"PG_Lagg_220727.txt"	"2022-07-29T10:10:06Z"	"Lagg_415_N_220721_7282022_24.qgd"	1		"Lagg_415_N_220721_7282022_24"	"underscores"	"Lagg"	415	"N"	220721	7282022	24		"Lagg"	"floral"		415	"N"	220721	2022-07-21	2022-07-28	24	"CHECK duplicate sample, two in a row"	2022	2
2022	5191	"PG_Lagg_220727.txt"	"2022-07-29T10:40:32Z"	"Lagg_415_N_220721_7282022_25.qgd"			"Lagg_415_N_220721_7282022_25"	"underscores"	"Lagg"	415	"N"	220721	7282022	25		"Lagg"	"floral"		415	"N"	220721	2022-07-21	2022-07-28	25	"CHECK duplicate sample, two in a row"	2022	2
2022	5201	"PG_Ihyb_220729.txt"	"2022-07-29T16:31:43Z"	"Ihyb_530A_N_220727_7292022_02.qgd"			"Ihyb_530A_N_220727_7292022_02"	"underscores"	"Ihyb"	"530A"	"N"	220727	7292022	2		"Ihyb"	"floral"		"530A"	"N"	220727	2022-07-27	2022-07-29	2	"CHECK dupe sample"	2022	2
2022	5425	"PG_Ihyb_220802_1.txt"	"2022-08-02T17:11:07Z"	"Ihyb_T7_N_220727_822022_07.qgd"	1		"Ihyb_T7_N_220727_822022_07"	"underscores"	"Ihyb"	"T7"	"N"	220727	822022	7		"Ihyb"	"floral"	7	"530A"	"N"	220727	2022-07-27	2022-08-02	7	"CHECK were these run twice? duplicate samples"	2022	2
2022	5209	"PG_Ihyb_220729.txt"	"2022-07-29T20:39:10Z"	"Ihyb_530B_N_220727_7292022_10.qgd"			"Ihyb_530B_N_220727_7292022_10"	"underscores"	"Ihyb"	"530B"	"N"	220727	7292022	10		"Ihyb"	"floral"		"530B"	"N"	220727	2022-07-27	2022-07-29	10	"CHECK dupe sample"	2022	2
2022	5423	"PG_Ihyb_220802_1.txt"	"2022-08-02T16:09:42Z"	"Ihyb_T5_N_220727_822022_05.qgd"	1		"Ihyb_T5_N_220727_822022_05"	"underscores"	"Ihyb"	"T5"	"N"	220727	822022	5		"Ihyb"	"floral"	5	"530B"	"N"	220727	2022-07-27	2022-08-02	5	"CHECK were these run twice? duplicate samples"	2022	2
2022	5206	"PG_Ihyb_220729.txt"	"2022-07-29T19:05:13Z"	"Ihyb_701A_N_220727_7292022_07.qgd"			"Ihyb_701A_N_220727_7292022_07"	"underscores"	"Ihyb"	"701A"	"N"	220727	7292022	7		"Ihyb"	"floral"		"701A"	"N"	220727	2022-07-27	2022-07-29	7	"CHECK dupe sample"	2022	2
2022	5420	"PG_Ihyb_220802_1.txt"	"2022-08-02T14:38:20Z"	"Ihyb_T2_N_220727_822022_02.qgd"	1		"Ihyb_T2_N_220727_822022_02"	"underscores"	"Ihyb"	"T2"	"N"	220727	822022	2		"Ihyb"	"floral"	2	"701A"	"N"	220727	2022-07-27	2022-08-02	2	"CHECK were these run twice? duplicate samples"	2022	2
2022	5207	"PG_Ihyb_220729.txt"	"2022-07-29T19:36:29Z"	"Ihyb_701B_N_220727_7292022_08.qgd"			"Ihyb_701B_N_220727_7292022_08"	"underscores"	"Ihyb"	"701B"	"N"	220727	7292022	8		"Ihyb"	"floral"		"701B"	"N"	220727	2022-07-27	2022-07-29	8	"CHECK dupe sample"	2022	2
2022	5421	"PG_Ihyb_220802_1.txt"	"2022-08-02T15:08:48Z"	"Ihyb_T3_N_220727_822022_03.qgd"	1		"Ihyb_T3_N_220727_822022_03"	"underscores"	"Ihyb"	"T3"	"N"	220727	822022	3		"Ihyb"	"floral"	3	"701B"	"N"	220727	2022-07-27	2022-08-02	3	"CHECK were these run twice? duplicate samples"	2022	2
2022	5205	"PG_Ihyb_220729.txt"	"2022-07-29T18:34:12Z"	"Ihyb_706A_N_220727_7292022_06.qgd"			"Ihyb_706A_N_220727_7292022_06"	"underscores"	"Ihyb"	"706A"	"N"	220727	7292022	6		"Ihyb"	"floral"		"706A"	"N"	220727	2022-07-27	2022-07-29	6	"CHECK dupe sample"	2022	2
2022	5419	"PG_Ihyb_220802_1.txt"	"2022-08-02T14:07:55Z"	"Ihyb_T1_N_220727_822022_01.qgd"	1		"Ihyb_T1_N_220727_822022_01"	"underscores"	"Ihyb"	"T1"	"N"	220727	822022	1		"Ihyb"	"floral"	1	"706A"	"N"	220727	2022-07-27	2022-08-02	1	"CHECK were these run twice? duplicate samples"	2022	2
2022	5200	"PG_Ihyb_220729.txt"	"2022-07-29T16:01:15Z"	"Ihyb_732A_N_220727_7292022_01.qgd"			"Ihyb_732A_N_220727_7292022_01"	"underscores"	"Ihyb"	"732A"	"N"	220727	7292022	1		"Ihyb"	"floral"		"732A"	"N"	220727	2022-07-27	2022-07-29	1	"CHECK dupe sample"	2022	2
2022	5424	"PG_Ihyb_220802_1.txt"	"2022-08-02T16:40:22Z"	"Ihyb_T6_N_220727_822022_06.qgd"	1		"Ihyb_T6_N_220727_822022_06"	"underscores"	"Ihyb"	"T6"	"N"	220727	822022	6		"Ihyb"	"floral"	6	"732A"	"N"	220727	2022-07-27	2022-08-02	6	"CHECK were these run twice? duplicate samples"	2022	2
2022	5208	"PG_Ihyb_220729.txt"	"2022-07-29T20:07:51Z"	"Ihyb_732B_N_220727_7292022_09.qgd"			"Ihyb_732B_N_220727_7292022_09"	"underscores"	"Ihyb"	"732B"	"N"	220727	7292022	9		"Ihyb"	"floral"		"732B"	"N"	220727	2022-07-27	2022-07-29	9	"CHECK dupe sample"	2022	2
2022	5422	"PG_Ihyb_220802_1.txt"	"2022-08-02T15:39:14Z"	"Ihyb_T4_N_220727_822022_04.qgd"	1		"Ihyb_T4_N_220727_822022_04"	"underscores"	"Ihyb"	"T4"	"N"	220727	822022	4		"Ihyb"	"floral"	4	"732B"	"N"	220727	2022-07-27	2022-08-02	4	"CHECK were these run twice? duplicate samples"	2022	2
2023	1786	"PG_230824.txt"	"2023-08-25T21:53:21Z"	"Ihyb_232_230728_8242023_12.qgd"	1	"skip-rename"	"PGVF_5_8242023_15"	"underscores"	"PGVF"	5	8242023	15				"Lagg"	"floral"	5	611	"D"	2023-07-20	2023-07-20	2023-08-24	15	"CHECK sample duplicate"	2023	2
2023	1965	"PGVF_230831a.txt"	"2023-08-31T18:19:18Z"	"PGVF_5_8312023_07.qgd"			"PGVF_5_8312023_07"	"underscores"	"PGVF"	5	8312023	7				"Lagg"	"floral"	5	611	"D"	2023-07-20	2023-07-20	2023-08-31	7	"CHECK sample duplicate"	2023	2
